SenderNodeId,SenderNodeName,DestinatioNodeId,DestinationNodeName,StarTime,EndTime,Duration
4,E,-1,,208.5757876808,208.5758023208,1.464e-005
4,E,-1,,208.5657871208,208.5657876808,5.6e-007
4,E,-1,,156.4718845608,156.4718992008,1.464e-005
4,E,-1,,156.4518699208,156.4518845608,1.464e-005
4,E,-1,,156.4418552808,156.4418699208,1.464e-005
4,E,-1,,156.4318406408,156.4318552808,1.464e-005
4,E,-1,,156.4218260008,156.4218406408,1.464e-005
4,E,-1,,104.3279234408,104.3279380808,1.464e-005
4,E,-1,,104.3079088008,104.3079234408,1.464e-005
4,E,-1,,104.2978941608,104.2979088008,1.464e-005
4,E,-1,,104.2878936008,104.2878941608,5.6e-007
4,E,-1,,104.2778789608,104.2778936008,1.464e-005
4,E,-1,,104.2678643208,104.2678789608,1.464e-005
4,E,-1,,52.1739617608,52.1739764008,1.464e-005
4,E,-1,,52.1539471208,52.1539617608,1.464e-005
4,E,-1,,52.1439324808,52.1439471208,1.464e-005
4,E,-1,,52.1339178408,52.1339324808,1.464e-005
4,E,-1,,52.1239032008,52.1239178408,1.464e-005
4,E,-1,,0.0200147208,0.0200152808,5.6e-007
4,E,-1,,0.0100000808,0.0100147208,1.464e-005
4,E,1,B,364.9337983208,365.0176862408,0.0838879
4,E,1,B,312.7898372008,312.8737251208,0.0838879
4,E,1,B,260.6258608808,260.7097488008,0.0838879
4,E,1,B,208.4718992008,208.5557871208,0.0838879
4,E,1,B,156.3279380808,156.4118260008,0.0838879
4,E,1,B,104.1739764008,104.2578643208,0.0838879
4,E,1,B,52.0300152808,52.1139032008,0.0838879
4,E,2,C,364.5733276,364.65721552,0.0838879
4,E,2,C,312.47943968,312.5633276,0.0838879
4,E,2,C,260.38555176,260.46943968,0.0838879
4,E,2,C,208.29166384,208.37555176,0.0838879
4,E,2,C,156.19777592,156.28166384,0.0838879
4,E,2,C,104.103888,104.18777592,0.0838879
4,E,2,C,52.01000008,52.093888,0.0838879
